,Ingredients,Category
0,캔옥수수 버터 설탕 마요네즈 피자치즈 파슬리가루,Japanese
1,계란 물 다시마,Japanese
2,닭다리 진간장 황설탕흑설탕 간생강 발사믹식초 청주,Japanese
3,가지 청양고추 식용유 맛술 물,Japanese
4,달걀 표고버섯 참치액젓 설탕,Japanese
5,계란 설탕 소금 맛술,Japanese
6,감자 햄통조림 감자전분 파마산치즈가루 후추 식용유,Japanese
7,껍질 벗긴 닭다리살 연근 식용유 녹말가루,Japanese
8,돼지고기 목살 스테이크용 고춧가루 올리브유 마늘,Japanese
9,샤브샤브용 소고기 다양한버섯들새송이표고양송이느타리백만송이 배추 양파 잔파 다시멸치 조각 다시마 가스오부시,Japanese
10,계란 소금 맛술 설탕 다시마물,Japanese
11,달걀 다시마육수 표고버섯 다진 파,Japanese
12,꽁치통조림 꽈리고추 홍고추 물 간장 생강 올리고당 다진마늘 통깨 올리브유,Japanese
13,가지 갈은 돼지고기 고추기름 쪽파또는대파 청양고추 다진마늘 청주 후추 참기름 깨,Japanese
14,계란 가쓰오부시 물,Japanese
15,호박고구마 큰 것 날 튀김가루 튀김용 기름,Japanese
16,무 대파 마른 청양고추 꽁치통조림,Japanese
17,계란 다시마 물,Japanese
18,간장 설탕 물 양파 대파 표고버섯 멸치 다시마cm 가쓰오부시,Japanese
19,메밀면 김밥용 김 와사비고추냉이 가루 무 크기 청주,Japanese
20,,Japanese
21,양배추 당근 사과 간장 식초 레몬즙 설탕 참기름 소금 후추,Japanese
22,달걀 차가운물 밀가루 튀김가루 튀김기름,Japanese
23,청주백화수복 또는 경주법주,Japanese
24,돼지고기 식빵 계란 밀가루 소금 계핏가루,Japanese
25,소고기 양파 큰 거 쪽파 팽이버섯 달걀 김 다시마 손바닥만한 거 가쓰오부시,Japanese
26,날치알 오이 단무지 김가루 후리카케 참기름 김치,Japanese
27,소고기 생강 깻잎 다시육수,Japanese
28,쌀뜬물 데친 시금치 새송이버섯 다듬은 멸치 대파,Japanese
29,튀김가루 탄산수 홍고추 파 얼음 소금,Japanese
30,돈까스용 등심 습식빵가루 계란 청정원 삼년묵은 천일염 청정원 요리통후추 청정원 유기농 밀가루 모짜렐라 치즈 물 다진 실파 양파,Japanese
31,계란 물 소금,Japanese
32,감자 스팸 감자전분가루 파마산치즈 후춧가루,Japanese
