,Ingredients,Category
0,밥 물 양조간장 스톡이나 굴소스 맛술 전분 식초 계란 크래미맛살 다진파 소금 식용유,Chinese
1,통삼겹살 붉은 양파 파채 참기름 소금,Chinese
2,닭가슴살 우리 밀가루 달걀 빵가루 포도씨유 양상추소 대파 무순,Chinese
3,돼지 앞다리살 청경채 파프리카 다진 마늘 밀가루,Chinese
4,알배기 배추 빨간 파프리카 노란 파프리카 초록 파프리카 대파 흰부분 청양고추 물,Chinese
5,달걀 크래미 작은 사이즈 새송이버섯 양파 대파 당근 햄,Chinese
6,계란 부추 굴소스 참기름 식용유,Chinese
7,크래미 계란 양파 전분가루 표고버섯 팽이버섯 대파 진간장 굴소스 소금 식용유,Chinese
8,계란 대파 냉동새우 간장 참기름 통깨,Chinese
9,파스타 면 소고기 데친 새우 채썬 파프리카 채썬 피망 채썬 양파 채썬 당근 편마늘 채썬 파,Chinese
10,간 돼지고기 배추 당면 식용유 다진 파 다진 마늘 물 간장 후추,Chinese
11,양배추 양파 당근 대파 초록부분 청양고추 참기름 통깨,Chinese
12,달걀 부추 굴소스 참기름 후추,Chinese
13,통통한 게맛살 대파 통마늘 올리브유 굴소스 후추 참기름 통깨 돼지고기다짐육,Chinese
14,쌀밥 달걀 대파 다진마늘 칵테일새우 굴소스 참기름 통깨,Chinese
15,쌀밥 계란 다진 양파 다진 당근 다진 파 다진 마늘 청주 고추기름 참기름 후추,Chinese
16,큰 토마토 달걀 굴소스 간장 파슬리가루 소금,Chinese
17,달걀 크래미작은 사이즈 당근 스팸 새송이버섯 양파 대파,Chinese
18,밥 크래미 계란 대파 흰부분 당근 피망 식용유,Chinese
19,계란 표고버섯 전분가루 물 국간장 소금 후추,Chinese
20,새우 청양고추 파프리카 양파 식용유 다진마늘 대파 물엿,Chinese
21,크래미 팽이버섯 달걀 파 고형 치킨스톡 국간장 물,Chinese
22,간 돼지고기 청경채 뿌리 양파 반개 홍고추 마늘 대파 페퍼론치노 고추기름,Chinese
23,새우 달걀 대파 당근 식은밥 소금 후추 간장 참기름,Chinese
