,Ingredients,Category
0,대패삼겹살 양파 달걀 노른자 설탕,Japanese
1,오이 완숙토마토 꽃소금 양조간장 참기름,Japanese
2,우엉 당근 물 간장 미림 설탕,Japanese
3,가지 설탕 청주 미림 물,Japanese
4,밥 물 양조간장 스톡이나 굴소스 맛술 전분 식초 계란 크래미맛살 다진파 소금 식용유,Japanese
5,적당한 크기의 감자 감자 전분 소금 물,Japanese
6,두부부침찌개용 간장 설탕 미림 생강파우더 후추 참기름 대파 흰대 다진 것,Japanese
7,두부 전분 또는 박력분 기름 무 간 것 쪽파,Japanese
8,두부 전분가루 가쓰오부시 쪽파,Japanese
9,무 마늘 간장 버터 대파 고춧가루 소금,Japanese
10,오이 백오이 다진양파 다진마늘 레드페퍼 or땡초 참기름,Japanese
11,소고기 불고기용 감자 청고추 홍고추 물 간장 올리고당 참기름 통깨,Japanese
12,달걀 크래미 대파 자일로스설탕 식초,Japanese
13,삼겹살 생강 미림 청주,Japanese
14,스팸 청경채 피망 양파 마늘 버터 파스타면,Japanese
15,감자 감자 전분 피자치즈 버터 소금 진간장 설탕 맛술 물 식용유,Japanese
16,새송이버섯 간장 마늘,Japanese
17,연어 살 양파 밥 올리고당 다진마늘 고추냉이,Japanese
18,밥 햄 계란 김 토마토 양상추 참기름 소금,Japanese
19,밥 참치 후리가케 올리고당,Japanese
20,감자 당근 양파 닭가슴살,Japanese
21,계란 크래미 대파 전분물 맛술 굴소스,Japanese
22,고등어 녹말가루 소금 후추 양파 설탕 물 물엿,Japanese
23,부침 두부 다진마늘 진간장 버터 올리브오일,Japanese
24,닭다리 순살 진간장 소금 설탕 미림 후춧가루 생강가루 계란 전분가루 튀김 식용유,Japanese
25,식빵 계란 우유 설탕 버터 소금,Japanese
26,감자작은것 감자전분 찹쌀가루 오일 버터옵션,Japanese
27,계란 맛살 파 밥 굴소스 물 전분물,Japanese
28,닭다리살 녹말가루 식용유 달걀 푼것 간장,Japanese
29,밥 달걀 다진 파 오일 미림 굴소스 치킨스톡 파우더 or 혼다시 등 조미료 전분,Japanese
30,삼겹살 파 밥 설탕 마늘 생강,Japanese
31,계란 노른자 설탕 전분 우유,Japanese
32,달걀 간장 설탕 미림 식용유,Japanese
33,밥 달걀 크래미 대파 통깨 식초 전분 물 물   전분가루,Japanese
34,고등어 대파 양파 밀가루 후추 물,Japanese
35,소고기 한우 양파 계란 쪽파 굴소스 다진마늘,Japanese
36,불고기용 소고기 대파 두부 양파 표고버섯 달걀,Japanese
37,삼겹살 양파 팽이버섯 밥 계란,Japanese
38,돼지고기부위 무관 감자 무우 당근 대파 채소나 버섯 포도씨유,Japanese
39,다진돼지고기 쪽파 계란 물 소금 생강가루,Japanese
40,닭 사태살 양파 달걀 파 간장 미림 설탕 가쓰오부시,Japanese
41,연두부 전분가루 설탕 꿀 콩가루,Japanese
42,식빵 양배추 슬라이스 햄 달걀 체다 치즈,Japanese
43,쌀 곤약 표고버섯 당근 연근 우엉,Japanese
44,부채살 양파 파 계란 밥 청주,Japanese
45,닭다리살이나 닭가슴살 생강 우유생략가능 튀김가루 소금 후추 양상추,Japanese
46,소고기갈비살 감자 작은 거 양파 당근 작은 거,Japanese
47,꽁치캔 생강 식용유 청양고추 빨간고추 통깨,Japanese
48,배추 소금 식초 설탕 마른고추,Japanese
49,돼지고기앞다리 삶은 당면 양파중 당근 포도씨유 달걀 cm 부추 썬 파 통깨,Japanese
50,돼지고기 감자 양파 당근 데친 브로컬리 설탕 후추 식용유,Japanese
51,달걀 다시국물 미림 소금 고명용 대파,Japanese
52,돼지고기 가지 설탕 미림 청주 물 미소 된장 조미료 간마늘 간생강 적당히 참기름 올리고당,Japanese
53,삼겹살 계란 양파 숙주 마요네즈 우유 후추 가츠오부시 소주,Japanese
54,라면 물 우유 다시마 된장 고춧가루 숙주,Japanese
55,소불고기 당근 감자 무 양파 꽈리고추 다시마 간장 설탕 쯔유 맛술 미림,Japanese
56,고형카레 버터 우유 물 감자 당근 피망 양파 소고기,Japanese
57,삼겹살 양파 달걀 설탕 한 마늘 다진 것 혼다시 물,Japanese
58,양배추 양파 쪽파 식용유 부침가루,Japanese
59,닭다리살 양파 대파 달걀,Japanese
60,돼지고기 소금 후춧가루 대파 양파 감자 물 설탕 간장 맛술,Japanese
61,손질된 가자미 당근 샐러리 간장 얇게 편썬 생강,Japanese
62,소고기등심 감자 양파 버터 육수 간장 설탕 후추,Japanese
63,감자 양파 당근 소고기 얇게 썬 것 그린빈 혹은 꽈리고추 육수,Japanese
64,작은 감자 감자 전분 찹쌀가루 소금 식용유 버터 김,Japanese
65,감자 찹쌀가루 김 소금 후추,Japanese
66,유부 쌀뜨물 밥 맛술,Japanese
67,가지 밥 간장 물,Japanese
68,양파 베이컨 다진마늘 오뚜기 카레 매운맛 약 우유 물,Japanese
69,닭 다리살 다진 마늘 간장 청주 후추 달걀 전분,Japanese
70,고등어 우엉 생강 마늘 또는 다진마늘 설탕 미림,Japanese
71,라면 아무거나 계란,Japanese
72,샤브샤브용 소고기 표고버섯 팽이버섯 대파 배추 양파 우동 유정란 식용유,Japanese
73,달걀 쯔유 설탕 맛술 소금,Japanese
74,닭다리살 달걀 양파 청양고추 대파 가츠오부시 다시마,Japanese
75,연어횟감 밥 다시마 간장 맛술 올리고당 다진마늘,Japanese
76,일본 고형 카레 파우더 감자 당근 돼지고기 삼겹살 버섯 과 채소 양파,Japanese
77,밥 크래미 계란 송송 썬 쪽파 후추 소금 식초,Japanese
78,샤브샤브용 소고기 두부 표고버섯 시금치혹은 청경채 대파 흰부분 실 곤약 떡국떡 달걀,Japanese
79,멸치육수 가쓰오부시 대패삼겹살 당근 무 미니새송이버섯 실곤약 우엉 미소된장,Japanese
80,멸치 개 다시마 가츠오부시 고춧가루 깨소금,Japanese
81,닭고기 닭다리살 전분가루 간생강 소금 밑간 재료무게의 분의 후추 파프리카파우더 백후추 간장 미림,Japanese
82,샌드위치햄 계란 오이 토마토 간장 참기름,Japanese
83,두부 전분 식물성오일 무 다진파 가쯔오부시,Japanese
84,삼겹살 양파 쪽파 밥 올리고당 통마늘 생강,Japanese
85,일본바몬드 카레 소고기 척아이롤 감자 양파 당근 스파게티용 토마토소스 우유 물,Japanese
86,꽈리고추 볶은 깨 간장 맛술 설탕 소금,Japanese
87,삼겹살 홍고추 대파 팽이버섯 청양고추,Japanese
88,방울토마토 소금 밀가루,Japanese
89,양송이 버섯 닭안심 대파흰부분 검은깨,Japanese
90,식빵 삶은달걀 마요네즈 소금 후추 연유,Japanese
91,스파게티 명란젓 껍질 발라서 쪽파 김가루 소금 후추,Japanese
92,샤브샤브용 소고기 다양한버섯들새송이표고양송이느타리백만송이 배추 양파 잔파 다시멸치 조각 다시마 가스오부시,Japanese
93,쇠고기 감자대 양파 당근 다시마 우린물 포도씨유식용유 후춧가루,Japanese
94,밥 대파푸른부분 계란 냉동새우,Japanese
95,,Japanese
96,대패삼겹살 대파 쪽파 양파 간장 미림 설탕 다진마늘 밥 버터 깨 후추 피쉬소스선택 계란노른자,Japanese
97,감자 불고기용 소고기 양파 당근,Japanese
98,달걀 청주 맛술 설탕 소금,Japanese
99,카레가루 양파 마늘 대파파란부분 검은깨 고춧가루,Japanese
100,불고기용 쇠고기 감자 양파 느타리버섯 멸치다시육수 생강가루 다진마늘 볶은참깨,Japanese
101,돼지고기 마늘 양상추 방울토마토 아보카도 치즈 계란,Japanese
102,돼지고기 청주 소금 후춧가루 양파 식용유 쌀밥,Japanese
103,,Japanese
104,불고기용소고기 감자 당근 청양고추 소금 후춧가루 다시마육수,Japanese
105,꽁치캔 생강 설탕 간장 맛술 물 식용유 꽈리고추 청양고추 홍고추생략가능,Japanese
106,달걀 후랭크 소세지 치즈 쯔유 맛술 밀가루,Japanese
107,달걀 대파 새우 가쓰오부시,Japanese
108,달걀 설탕 소금 맛술 쯔유 가쓰오 육수,Japanese
109,구멍난 어묵 아스파라거스 천일염 올리브유 산초가루,Japanese
110,두부 꽈리고추파로대체가능 갈은 무 녹말가루 소금 튀김 기름,Japanese
111,물 진간장 설탕 미림 냉동 유부 무 청양고추 표고버섯 큰거 건 미역 생강,Japanese
112,사리곰탕라면 안성탕면 베이컨 삶은달걀 숙주나물 청경채 파,Japanese
113,소고기 양파 물,Japanese
114,채썬 양파 달걀 채 썬 대파 밥 가쓰오부시 쪽파,Japanese
115,고형카레 양파 돼지고기 당근 감자 대파 마늘 삶은계란,Japanese
116,돼지고기 다짐육 오징어 양배추 마 부침가루 물 식용유 마요네즈 가다랭이포,Japanese
117,삶은 감자큰 사이즈 파프리카빨간색 파프리카노란색 당근 양파 피망 오이 햄 소금 후추 연유 버터 마요네즈 홀그레인머스타드 머스타드 옥수수,Japanese
118,가지 쪽파 통깨 맛술,Japanese
119,소고기 불고기 양파 밥 계란 생강 파 물 다시마 간장 맛술 설탕 소금 후추,Japanese
120,떡볶이떡 사각어묵 양파 깻잎 물,Japanese
121,우엉 설탕 청주 미림 다시물 식초 참기름 식용유 통깨,Japanese
122,소고기 스테이크 무 갈아서 다진 파 생 와사비 치커리,Japanese
123,카레용 돼지고기 감자 양파 애호박 당근 소금 식용류,Japanese
124,소 불고기감 진간장 파채 계란 양파 다진마늘 생강채 매실 액기스 후추 양파즙 참기름,Japanese
125,밥따뜻한것 가쓰오부시 김,Japanese
126,간장 설탕 미림 간장 설탕 미림 물 다시육수,Japanese
127,달걀 소금 식초 다시마 가쓰오부시,Japanese
128,계란 식빵 우유 올리브오일,Japanese
129,돈까스용 돼지고기 등심 양파 느타리버섯 파 계란 빵가루 밀가루,Japanese
130,고슬고슬 지은 밥 설탕 소금 올리고당 양파 마늘 매실액,Japanese
131,양파 계란 파,Japanese
132,밥 돼지고기 안심 또는 닭고기 달걀 양파 팽이버섯 다시마 식용유,Japanese
133,소고기샤브샤브용 청경채 알배추 새송이버섯 팽이버섯 양파 대파 두부 숙주나물 표고버섯 소면칼국수면 가능,Japanese
134,소고기우둔살 달걀 곤약 두부 버섯표고느타리팽이 배추 청경채 쑥갓 파 청양고추 우동사리 가쓰오부시 장국 진간장 다시마 우린 물 올리고당 청주또는사케,Japanese
135,닭안심 사이다 후춧가루 소금 미림 튀김가루 달걀,Japanese
136,통삼겹살 미림 물,Japanese
137,밥 가쓰오부시,Japanese
138,채소 소금 설탕 식초 건다시마선택가능 건고추선택가능,Japanese
139,계란 랍스터 게살 레몬즙 후춧가루,Japanese
140,꽁치통조림 꽈리고추 청양고추 홍고추 생강 식용유,Japanese
141,돼지고기 당근 연근 표고버섯 곤약,Japanese
142,두부 감자전분 소금 후추 가다랑어포 데리야끼소스,Japanese
143,계란 칵테일새우 대파 건고추 참치액젓 소금 참기름 물,Japanese
144,설탕 달걀 흰자 물,Japanese
145,알감자 포도씨유 볶은 천일염,Japanese
146,한천 물 설탕,Japanese
147,양배추 소금 참치 마요네즈 간장 설탕 참기름,Japanese
148,양파 당근 대파 달걀 청양초,Japanese
149,명란젓 마늘 양파 구운 김 파스타 면 올리브오일 소금 후추,Japanese
150,소고기불고기 표고버섯 양파 작은것 식용유 청주 따뜻한 밥 작은 설탕 간장,Japanese
151,계란 소금 설탕 우유 미림 쯔유 다시마물,Japanese
152,밥 베이컨 대파 버섯 당근 파프리카 우스터소스 버터 간장 케찹 다진 마늘 소금 후추 맛술 미림 우유 생크림 밀가루,Japanese
153,닭다리살 양파 중간것 당근 중간것 감자 중간것 양송이 작은거 브로콜리 우유 밀가루 버터 소금 후추 소주,Japanese
154,양배추 숙주 청양고추 대파 다진마늘 김가루,Japanese
155,소금 통후추 숙주나물 통깨 물 감자전분,Japanese
156,도미 무 다시마 대파 생강,Japanese
157,계란 다시마,Japanese
158,쇠고기샤브샤브용 새송이버섯 표고버섯 느타리버섯 팽이버섯 양파 대파 배추 청경채 유부무양념 우엉 곤약 다시마 멸치또는 디포리 g  가다랑어포가쓰오브시 정종청하나소주가능,Japanese
159,양파소 당근 버터 치킨스톡 물,Japanese
160,계란 밥 쪽파 물 양파,Japanese
161,진간장 물 생강 가스오부시 설탕,Japanese
162,소고기목심 양파 대파 밥,Japanese
163,,Japanese
164,양파  가쓰오부시 다시마 작은 것 달걀 실파 팽이버섯,Japanese
165,닭다리살 달걀 다진마늘 다진생강이나 생강가루 간장 소금 후춧가루 전분가루 튀김기름,Japanese
166,식빵 체다치즈 양배추 당근 머스터드소스,Japanese
167,,Japanese
168,당근 무 cm 연근 cm 미림,Japanese
169,달걀 우유 소금 후추 버터 밥 양파 호박 당근 대파 cm 베이컨,Japanese
170,간장 물 생강가루 다시마 맛술 설탕,Japanese
171,밥 치킨 계란 양파 대파,Japanese
172,양배추 채 적채 베이컨 양파 대파 카놀라유,Japanese
173,밥 명란젓 녹차,Japanese
174,양파 표고버섯 물 밥 달걀 노른자 대파 썬 것,Japanese
175,달걀 소금,Japanese
176,계란 혼다시 소금 물 토핑용 명란,Japanese
177,물 ml 감자 당근 양파 돼지고기 안심,Japanese
178,,Japanese
179,밥 계란노른자 낫또 대파,Japanese
180,감자 양파 당근 소불고기,Japanese
181,감자 당근 양파 돼지고기,Japanese
182,케찹 간장 설탕 양송이 케찹 소스 버터 파르메산 치즈 간장 면수 또는 물 후추 소금,Japanese
183,고형카레 카레용돼지고기 양파 감자 당근 브로콜리 소금 후추,Japanese
184,닭가슴살혹은 닭다리살 계란 양파 파 후추,Japanese
185,무 물 가쓰오부시,Japanese
186,달걀 김,Japanese
187,간장 설탕 물 생강편 마늘 대파,Japanese
188,돼지고기 양파 대파 쪽파 노른자 식용유,Japanese
189,돈까스 계란 양파,Japanese
190,계란 맛술 소금,Japanese
191,계란 다시물 무,Japanese
192,올리브유 양송이버섯 양파대 페페론치노 고추취향에 따라 마늘 버터 물 무염버터,Japanese
193,밥 쇠고기불고기용 or 샤브샤브용 양파 달걀 대파 팽이버섯 다진 실파,Japanese
194,큰감자 당근 양파 우유 소고기 양지 고형카레 버터 물,Japanese
195,닭가슴살 or닭다리살 감자전분 식용유 레몬즙 올리고당 백후춧가루 SB 겨자,Japanese
196,라멘 생면or건면 치킨스탁 파우더 마늘 생강 간장 설탕 참기름 미소,Japanese
197,달걀 가쓰오육수 청주,Japanese
198,우동면 가쓰오부시 쯔유 국간장 소금 맛술 대파 쑥갓 어묵 유부,Japanese
199,버터 양파 감자 브로컬리 양송이버섯 닭고기 소세지 고형카레,Japanese
200,가스오브시 육수 돈가스 달걀 대파 피망,Japanese
201,양파 송송 썬 대파 가쯔오부시 육수 맛술 생강 간것 통후추 페페론치노혹은 고추씨,Japanese
202,밤 럼주나 브랜디 소금 물,Japanese
203,미소된장 물 두부 팽이버섯 쪽파,Japanese
204,,Japanese
205,,Japanese
206,소고기불고기용 두부 알배추 잎 새송이버섯 표고버섯 양파 청경채 당근 쑥갓 대파 실곤약 또는 당면 계란,Japanese
207,파스타면 베이컨 시금치 간장 참기름,Japanese
208,크래미 달걀 대파 식용유 식초 맛술 전분물,Japanese
209,닭 다리살 계란 흰자 우유 다진 마늘 맛술 소금 후추 쯔유 전분 식용유,Japanese
210,돼지고기 피망 생강 저칼로리 당면 식용유 참기름 요리술 설탕 간장 물,Japanese
211,멸치육수 달걀 새우 유부 청홍고추,Japanese
212,오이 토마토 두부 참기름 통깨,Japanese
213,닭다리 또는 닭봉 감자 당근 표고버섯 양파 꽈리고추 통마늘 진간장 쯔유 또는 참치액젓 맛술 매실청 요리당 생강가루 후춧가루 식용유,Japanese
214,,Japanese
215,연어 소금 후추 식용유 버터 간장 미림 레몬즙 밀가루,Japanese
216,고기 다짐육 양파 버터 빵가루 우유 소금 후추 요리술 케찹 우스타소스 식용유,Japanese
217,닭봉 무 생강 식용유 물 요리술 설탕,Japanese
218,달걀 크래미 대파 밥 맛술 전분물 물,Japanese
219,남은 불고기 달걀 쪽파 또는 참나물 밥 생강 쪽파 또는 참나물 쯔유 또는 물 또는 다시마육수 간장 맛술 참기름 설탕,Japanese
220,연어 부침용두부 아보카도 찹쌀가루 청고추 홍고추,Japanese
221,방울토마토 매실엑기스 레몬청 바질 또는 다른 허브,Japanese
222,간장 설탕 물 생강,Japanese
223,달걀 파 양파 불고기 소금 가쓰오부시,Japanese
224,삼치 마늘 대파 생강 쪽파 전분 후추 식용유,Japanese
225,양파 미역 냉동 차돌박이 건조 디포리 육수용 멸치 육수용 다시마 물 가다랑어포,Japanese
226,소고기 양파 쪽파 생강술 혹은 청주 맛술,Japanese
227,라면 우유 다시마 된장 고춧가루 숙주 삶은계란,Japanese
228,돼지고기등심 간장 청주 생강즙 올리고당 양파 밀가루 후추 양파 생강,Japanese
229,달걀 다시마 우린 물 맛술 진간장 꽃소금 표고버섯 슬라이스 자숙 칵테일 새우 크래미 실파,Japanese
230,연두부 된장 생강 설탕 식초 베트남 건고추 통후추 사과 양파 파뿌리 cm 통마늘,Japanese
231,쌀 찹쌀 참기름 물,Japanese
232,강력분 인스턴트이스트 탈지분유 설탕 소금 달걀 중간크기 미지근한 우유 버터,Japanese
233,계란 다시마육수 파 소금,Japanese
234,통삼겹살 삶은달걀 시금치 대파 생강 통후추 청주 연겨자,Japanese
235,오이 간장 미림 설탕 식초 소금 깨 레드페퍼,Japanese
236,우엉 식초 간장,Japanese
237,양배추 부추 버섯 두부 페퍼론치노 알배추,Japanese
238,두부 녹말가루 쪽파 새싹채소 올리브유 참기름 소금,Japanese
239,오이 가지 다시마 소금 간장 식초,Japanese
240,시금치 멸치육수 간장 맛술 통깨 가쓰오부시,Japanese
241,시금치 통깨 설탕 간장 맛술,Japanese
242,배추 다시마 건고추 소금 식초 설탕,Japanese
243,닭다리 다진쪽파 양파 당근 계란 마늘 참기름 설탕 간장 미림 물 쯔유,Japanese
244,팥 팥 황설탕 소금 물 무염버터 미지근한 우유 계란 크림치즈 깨 달걀물,Japanese
245,돼지고기 등심 소주 후추 진간장 올리고당 굴소스 물 대파 전분 통마늘 밥,Japanese
246,버터 버터 계란 고구마전분 크림치즈 생크림 레몬즙 바닐라 익스트랙 설탕,Japanese
247,돼지고기 생강 손가락 마디 양배추 식용유,Japanese
248,닭고기 우엉 당근 표고버섯 쌀,Japanese
249,인스턴트 카레 카레가루 우동면 전지 돼지고기 흰우유 양파 다진마늘 버터 소금 후추,Japanese
250,고체 카레 양파 양송이 방울토마토 대파다진거 계란,Japanese
251,달걀 표고버섯 멸치육수 소금 설탕 맛술,Japanese
252,다진소고기 닭안심살 감자 당근 양파 대 맛술 치킨스톡 버터,Japanese
253,계란 전분 크래미 식초,Japanese
254,어묵 통 양파 Whole Onion 멸치 Dried Anchovy 마른 표고 Dried Shiitake Mushroom 매운 건 고추 Spicy Dried Red Pepper 무 Radish,Japanese
255,,Japanese
256,국수 실파 무 중간크기,Japanese
257,삼치 마늘 생강채 꿀 후추 간장,Japanese
258,가지 소금 오이 다시마 가쓰오부시,Japanese
259,양배추 밀가루 햄 계란,Japanese
260,달걀 물 멸치가루 다시마 진간장 미림,Japanese
261,밥 계란 참기름 통깨 청양고추 다진마늘 썬파 된장 굵은고춧가루 고운고춧가루 고추장 참기름 라면사리,Japanese
262,무 가는 무큰무는 개 대파 청양고추 청주,Japanese
263,무 대파 청양고추 설탕 진간장 다진마늘 물 가쓰오부시,Japanese
264,계란 식은 멸치육수 간장 소금 표고버섯 다시마 맛살 잔파,Japanese
265,카레가루 버터 양파 우유 물 소금 후추,Japanese
266,생강 식초 설탕 소금,Japanese
267,소불고기감 양파 양배추 각종채소와 버섯 밥 달걀노른자,Japanese
268,닭다리살 전분가루 달걀 다진마늘 생강 쯔유,Japanese
269,오뚜기 메밀소바장국 소고기 다시다 흑설탕 흑설탕,Japanese
270,마 다시마 간장 맛술,Japanese
271,마른 미역 마 오이 설탕 식초 물,Japanese
272,두부 대파 전분가루 식용유 물 간장 맛술 다시마,Japanese
273,당근 계란 참기름 소금 간장 설탕,Japanese
274,달걀 식빵 장 내지는 쯔유 생크림 설탕 맛술 마요네즈 머스타드소스 와사비 식빵 크기,Japanese
275,바지락 파 팽이버섯 물 멸치육수 팩 미소 청주,Japanese
276,감자 간장 설탕 물엿 전분가루 소금 우유 식용유 버터,Japanese
277,대파 설탕 간장 식초 굴소스 계란 전분 물 물 쌀밥,Japanese
278,달걀 새우 표고 실파 or 쪽파,Japanese
279,닭날개 감자 베트남고추 간장 설탕 미림 가쓰오부시 다시마 꽈리고추 생강가루,Japanese
280,물 간장 맛술 설탕 식초 치킨스톡 전분,Japanese
281,계란 맛술 간장쯔유 설탕 다시마물,Japanese
282,소고기 파 잎부분 양파 배추 가스오부시 계란노른자 후추,Japanese
283,달걀 식빵 맛술 설탕 홀그레인머스타드 마요네즈,Japanese
284,우유 계란 설탕 식빵 버터,Japanese
285,다진소고기 양파 달걀 채소스팸호박,Japanese
286,생굴 튀김가루 마늘 올리브오일 간장,Japanese
287,푸 라면 or 매운라면 파 손가락 반마디 올리브유 약간 ,Japanese
288,닭가슴살 감자전분 박력분 계란 식용유 다진생강 후추,Japanese
289,식빵 달걀 설탕 소금 생크림 휘핑크림 마요네즈 와사비 파슬리,Japanese
290,연근 기름아무거나 참기름 큰술 참깨,Japanese
291,돼지 등심 감자 양파 느타리버섯 가지 물,Japanese
292,무 쪽파 청주 설탕 참기름,Japanese
293, 감자전분  설탕  말차가루녹차가루 물 볶음 콩가루미숫가루 찬물,Japanese
294,부침가루 물 양배추 오징어 새우 계란,Japanese
295,밥 가지 계란 돼지고기 갈은거 대파나 쪽파 다진마늘 청양고추 미림이나 청주 참기름,Japanese
296,소고기샤브샤브 배추 대파 표고버섯 두부 실곤약 버터 달걀,Japanese
297,샤브샤브육수 소고기샤브샤브 배추 곤약 두부 당근 대파,Japanese
298,달걀 가쓰오부시 소금,Japanese
299,닭날개 밀가루 소금 후추 식용유 홍고추 또는 청양고추,Japanese
300,스테이크용 소고기 양파 오일 생와사비,Japanese
301,물 우스터소스 케첩 진간장 설탕 전분가루,Japanese
