,Ingredients,Category
0,만두 대파 쥐똥고추or청양고추 다진마늘 후추,Chinese
1,감자 고추 또는,Chinese
2,브로콜리 간마늘 간장 흑설탕 참기름,Chinese
3,두부 대파 청고추 홍고추 녹말가루 고추기름 다진 마늘 굴 소스 간장 설탕 식초 청주 물,Chinese
4,청경채 냉동 솔방울 오징어 청양고추 참기름 깨 식용유,Chinese
5,두부 청양고추 전분 식용유 맛술 조청 물 다진대파 다진마늘 다진생강 참기름 깨 고운소금 후추,Chinese
6,닭가슴살 양파 대파 청양고추 마른홍고추 참기름 후추가루 간장 맛술 굴소스 식초 설탕 올리고당,Chinese
7,양배추 연두 소금 설탕 식초 고춧가루 포도씨유,Chinese
8,새우 찬 밥 당근 양파 대파 계란,Chinese
9,가지 양파 당근 청양고추 홍고추 튀김가루 밀가루 고추기름 물 식용유,Chinese
10,청경채 대파 소금 참기름 전분,Chinese
11,대파 당근 계란 밥,Chinese
12,소고기스테이크용 브로콜리 양파소 청주고기핏물제거용 간생강 전분가루 물 참기름,Chinese
13,그린빈 간마늘 간생강 물 전분가루 참기름,Chinese
14,쌀 작은 새우살 달걀 대파 cm 당근 청피망 식용유 소금 흰후춧가루,Chinese
15,물 감자전분 다진마늘 다진생강 이금기 치킨 스톡 굴소스 후추,Chinese
16,,Chinese
17,새우 큰거 양파 계란 파 흰부분 마늘 생강 마늘 완두콩 소금,Chinese
18,돼지등심 진간장 달걀 녹말가루 식용유 물 식초 백설탕 대파 당근 완두 오이 양파 청주,Chinese
19,,Chinese
20,닭다리살 청양고추 쥐똥고추 대파흰부분 생강 마늘 달걀 식용유 간장 청주,Chinese
21,기름 설탕 흑임자,Chinese
22,물 양파 대파 알배추 당근 목이버섯 다진마늘 굴 모시조개 오징어 풋고추 청경채 식용유,Chinese
23,데친 청경채 소금 올리브유포도씨유 다진마늘 다진파 홍고추 맛간장 감자전분 물 만능육수 올리고당 참기름,Chinese
24,당면인분 시금치 크게 어묵 넓적한거 양파중 대파 당근 삼겹살 소불고기,Chinese
25,,Chinese
26,새우 중하 쇠고기or돼지고기 죽순 양파 큰것 당근 통깨 소금 후춧가루,Chinese
27,식용유 고춧가루,Chinese
28,닭안심살 건고추 홍고추 대파 굴소스 후춧가루 식용유 감자 전분 마늘 생강,Chinese
29,고슬고슬한 밥 계란 당근 대파 미원 소금 후추 간장,Chinese
30,돼지고기 양배추 양파 당근 대파 사각어묵 떡 비엔나 소시지 삶은 달걀 마늘 분말 짜장가루 물 물 식용유,Chinese
31,두반장 굴소스 맛술 후추 설탕,Chinese
32,갑오징어 새우 돼지고기 채 잡채용 양파 대파 청경채 당근 브로컬리 줄기,Chinese
33,대하 후추 생강술 후추 참기름,Chinese
34,잡채용 돼지고기 빨강 파프리카 노랑 파프리카 양파 청양고추 감자전분가루,Chinese
35,연근 대파채 생강슬라이스 건고추 또는 크러쉬드 레드페퍼 식용유 소금 설탕 식초,Chinese
36,칠리오일 밥 돼지고기다짐육 냉동야채 쪽파 마늘 소금 후추 간장 굴소스 참기름,Chinese
37,가지 돼지고기다짐육 양파 파프리카 청양고추 밀가루 튀김가루 식용유 물,Chinese
38,닭 다리살 후추 술 우유 혹은 플레인 요구르트 전분 고추기름 참기름 양상추,Chinese
39,돼지고기 통 삼겹살 커피 생강 가루 된장 고기 삶은 육수 청양고추,Chinese
40,레시피마다달라요,Chinese
41,대파 당근 애호박 빨강피망 양파 계란 밥,Chinese
42,양파 대파 홍고추 식초 다진마늘 물 청양고추,Chinese
43,돼지고기 피망 양파 표고버섯 죽순 계란 대파흰부분 전분 청주 후추 마늘 굴소스 간장 맛술 참기름,Chinese
44,홍합 대파 홍고추 청양고추 전분가루 물 식용유 다진 마늘 두반장 물 굴소스 설탕 후춧가루,Chinese
45,돼지등심 양파 애호박 오이 춘장 생강 진간장 청주 소금 백설탕 참기름 녹말가루 식용유,Chinese
46,배 고춧가루 새우젓 다진 마늘 다진 대파 통깨,Chinese
47,돼지등심 캔 죽순 대파 cm 달걀 춘장 식용유 백설탕 굴소스 청주 진간장 녹말가루 참기름 마늘 생강,Chinese
48,호부추 돼지등심 달걀 청주 소금 참기름 식용유 녹말가루,Chinese
49,두부 마늘 생강 대파 홍고추 두반장 검은 후춧가루 돼지등심 백설탕 녹말가루 참기름 식용유 진간장 고춧가루,Chinese
50,돼지고기 청주 녹말가루 청피망 달걀 죽순 건표고버섯 양파 참기름 식용유 소금 진간장,Chinese
51,오이 식초 백설탕 소금 참기름 겨자,Chinese
52,새우살 진간장 달걀 녹말가루 토마토케찹 청주 당근 양파 소금 백설탕 식용유 생강 대파 완두콩,Chinese
53,캔옥수수 땅콩 밀가루 달걀 백설탕 식용유,Chinese
