,stopword
0,
1,알
2,대
3,개
4,알
5,
6,
7,
8,컵
9,큰술
10,큰술
11,컵
12,장
13,장
14,약간
15,컵
16,큰술
17,한마리
18,알
19,조각
20,약간
21,약간
22,개
23,약간
24,약간
25,
26,알
27,개
28,개
29,줌
30,큰술
31,큰술
32,큰술
33,큰술
34,큰술
35,큰술
36,큰술
37,약간
38,모
39,알
40,한줌
41,
42,
43,
44,개
45,반컵
46,
47,
48,
49,
50,개
51,개
52,스푼
53,스푼
54,스푼
55,장
56,개
57,개
58,장
59,개
60,캔
61,장
62,팩
63,약간
64,개
65,캔
66,모
67,알
68,개
69,개
70,대
71,큰술
72,큰술
73,컵
74,약간
75,약간
76,
77,반개
78,개
79,장
80,반개
81,반개
82,봉
83,개
84,약간
85,큰술
86,큰술
87,큰술
88,큰술
89,큰술
90,개
91,개
92,개
93,개
94,약간
95,
96,봉
97,봉
98,약간
99,약간
100,약간
101,개
102,통
103,
104,
105,
106,
107,
108,
109,
110,
111,
112,개
113,반개
114,대
115,개
116,반개
117,약간
118,약간
119,약간
120,큰술
121,큰술
122,약간
123,팩
124,대
125,개
126,토막
127,개
128,개
129,개
130,장
131,컵
132,컵
133,큰술
134,큰술
135,큰술
136,약간
137,
138,개
139,개
140,쪽
141,약간
142,컵
143,
144,
145,컵
146,
147,
148,개
149,개
150,개
151,큰술
152,약간
153,약간
154,
155,
156,모
157,개
158,개
159,알
160,컵
161,개
162,장
163,
164,
165,
166,약간
167,모
168,개
169,개
170,큰술
171,큰술
172,큰술
173,개
174,컵
175,큰술
176,큰술
177,약간
178,약간
179,
180,
181,약간
182,약간
183,컵
184,컵
185,약간
186,
187,
188,
189,약간
190,
191,
192,
193,
194,
195,
196,큰술반
197,큰술
198,작은술
199,포기
200,
201,
202,모
203,
204,
205,큰술
206,큰술
207,큰술
208,작운술
209,
210,약간
211,약간
212,큰술
213,큰술
214,컵
215,
216,개
217,개
218,
219,
220,
221,
222,약간
223,한큰술반
224,큰술
225,단
226,마리
227,개
228,큰술
229,작은술
230,컵
231,
232,
233,
234,
235,
236,
237,
238,
239,
240,
241,개
242,알
243,
244,약간
245,
246,큰술
247,큰술
248,작은술
249,
250,공기
251,숟갈
252,공기
253,개
254,
255,조큼
256,반개
257,
258,개
259,개
260,큰술
261,꼬집
262,
263,개
264,장
265,개
266,개
267,작은술
268,
269,개
270,개
271,약간
272,작은술
273,큰술
274,큰술
275,큰술
276,
277,약
278,모
279,개
280,개
281,큰술
282,큰술
283,작은술
284,큰술
285,작은술
286,
287,개
288,개
289,작은술
290,큰술
291,봉
292,큰술
293,
294,
295,종이컵
296,큰술
297,큰술
298,큰술
299,큰술
300,큰술
301,큰술
302,큰술
303,개
304,개
305,큰술
306,큰술
307,큰술
308,큰술
309,모
310,개
311,큰술
312,꼬집
313,
314,
315,
316,
317,
318,
319,
320,
321,
322,
323,개
324,개
325,한장
326,
327,
328,
329,약간
330,원하는만큼
331,마리
332,마리
333,개
334,장
335,
336,개
337,취향껏
338,개
339,알
340,장
341,개
342,알
343,가득한접시
344,개
345,장
346,취향껏
347,장
348,장
349,장
350,소량
351,개
352,개
353,
354,작은술
355,큰술
356,공기
357,
358,
359,
360,
361,
362,
363,티스푼
364,큰스푼
365,개
366,숟가락
367,개대
368,
369,
370,적당히
371,개
372,개
373,티스푼
374,
375,
376,
377,개
378,듬뿍
379,샷혹은우유한컵
380,스쿱
381,개
382,개
383,개
384,개
385,듬뿍
386,듬뿍
387,개
388,개
389,샷
390,스쿱
391,취향껏
392,취향껏
393,취향껏
394,개개
395,샷취향껏
396,개
397,취향껏
398,취향껏
399,취향껏
400,컵
401,
402,뿌리
403,공기
404,개
405,작은슬
406,약간
407,작은술
408,작은슬
409,작은술
410,작은술
411,약간
412,약간
413,컵
414,
415,토막
416,개
417,스푼
418,약간
419,약간
420,스푼
421,스푼
422,스푼
423,스푼
424,스푼
425,스푼
426,스푼
427,스푼
428,
429,약간
430,반개
431,
432,개
433,개
434,알
435,스푼
436,스푼
437,스푼
438,스푼
439,스푼
440,스푼
441,티스푼
442,티스푼
443,스푼
444,약간
445,줌
446,개
447,토막
448,개
449,작은술
450,반컵
451,
452,반컵
453,적당량
454,줌
455,개
456,토막
457,개
458,스푼
459,컵
460,스푼
461,컵
462,적당량
463,한컵
464,취향껏
465,개
466,개정도
467,취향껏
468,개
