,stopword
0,알
1,대
2,개
3,컵
4,큰술
5,장
6,약간
7,한마리
8,조각
9,줌
10,모
11,한줌
12,반컵
13,스푼
14,캔
15,팩
16,반개
17,봉
18,통
19,토막
20,쪽
21,큰술반
22,작은술
23,포기
24,작운술
25,한큰술반
26,단
27,마리
28,공기
29,숟갈
30,조큼
31,꼬집
32,약
33,종이컵
34,한장
35,원하는만큼
36,취향껏
37,가득한접시
38,소량
39,티스푼
40,큰스푼
41,숟가락
42,개대
43,적당히
44,듬뿍
45,샷혹은우유한컵
46,스쿱
47,샷
48,개개
49,샷취향껏
50,뿌리
51,작은슬
52,적당량
53,한컵
54,개정도
55,알취향껏
56,한병
57,작은거
58,반봉
59,한접시
60,줄
61,라면한봉
62,한봉
63,색깔별로하나씩
64,인분
65,색상별로취향껏
66,봉지
67,인분량
68,한사발
69,한뿌리
70,반큰술
71,한개
72,인기준
73,잔
74,슬라이스
75,한꼬집
76,과컵
77,한팩
78,한큰술
79,반근
80,톨
81,반꼬집
82,두줌정도많이
83,옵션
84,개중
85,밥그릇반공기
86,리터
87,덩이
88,송이
89,두컵
90,줄기
91,병
92,한공기
93,미
94,접시
95,큰수
96,국자
97,한캔
98,양파개분량
99,두개
100,두큰술
101,두줄
102,반공기
103,두장
104,한컵반
105,반모
106,박스
107,넉넉히
108,두공기
109,반포기
110,밥공기그릇
111,반개대
112,컵컵
113,생강
114,대접
115,근
116,조금
117,반작은술
118,팩약
119,반팩
120,한작은술
121,반마리
122,분량예포기
123,한스푼
124,세스푼
125,두스푼
126,반스푼
127,분의개
128,취향것
129,한봉지
130,반줌
131,잎
132,주먹
133,한모
134,큰술반큰술반큰술약간
135,팩약줌
136,적당랴
137,컵리터
138,국물용멸치
139,두줌
140,큰것캔
